date,away_team,home_team,away_starter,away_hand,home_starter,home_hand,Away 1st,Home 1st,yrfi
2025-04-16,Cleveland Guardians,Baltimore Orioles,G. Williams (R),R,D. Kremer (R),R,0.0,0.0,0
2025-04-16,Seattle Mariners,Cincinnati Reds,B. Miller (R),R,N. Martinez (R),R,1.0,0.0,1
2025-04-16,Colorado Rockies,Los Angeles Dodgers,G. Marquez (R),R,B. Miller (R),R,1.0,7.0,1
2025-04-16,Arizona Diamondbacks,Miami Marlins,B. Pfaadt (R),R,M. Meyer (R),R,0.0,0.0,0
2025-04-16,Detroit Tigers,Milwaukee Brewers,K. Montero (R),R,J. Quintana (L),L,0.0,0.0,0
2025-04-16,New York Mets,Minnesota Twins,H. Brazoban (R),R,D. Festa (R),R,0.0,0.0,0
2025-04-16,Kansas City Royals,New York Yankees,K. Bubic (L),L,C. Schmidt (R),R,1.0,0.0,1
2025-04-16,San Francisco Giants,Philadelphia Phillies,R. Ray (L),L,A. Nola (R),R,4.0,2.0,1
2025-04-16,Washington Nationals,Pittsburgh Pirates,M. Parker (L),L,B. Falter (L),L,0.0,0.0,0
2025-04-16,Chicago Cubs,San Diego Padres,M. Boyd (L),L,N. Pivetta (R),R,0.0,0.0,0
2025-04-16,Houston Astros,St. Louis Cardinals,R. Blanco (R),R,S. Matz (L),L,1.0,0.0,1
2025-04-16,Boston Red Sox,Tampa Bay Rays,S. Newcomb (L),L,Z. Littell (R),R,0.0,0.0,0
2025-04-16,Los Angeles Angels,Texas Rangers,J. Soriano (R),R,P. Corbin (L),L,0.0,0.0,0
2025-04-16,Atlanta Braves,Toronto Blue Jays,S. Strider (R),R,C. Bassitt (R),R,0.0,0.0,0
2025-04-17,Cleveland Guardians,Baltimore Orioles,T. Bibee (R),R,T. Sugano (R),R,0.0,1.0,1
2025-04-17,Seattle Mariners,Cincinnati Reds,E. Hancock (R),R,B. Singer (R),R,0.0,2.0,1
2025-04-17,Kansas City Royals,Detroit Tigers,M. Lorenzen (R),R,R. Olson (R),R,0.0,0.0,0
2025-04-17,Arizona Diamondbacks,Miami Marlins,E. Rodriguez (L),L,E. Cabrera (R),R,2.0,1.0,1
2025-04-17,St. Louis Cardinals,New York Mets,A. Pallante (R),R,G. Canning (R),R,0.0,0.0,0
2025-04-17,San Francisco Giants,Philadelphia Phillies,J. Hicks (R),R,C. Sanchez (L),L,1.0,5.0,1
2025-04-17,Washington Nationals,Pittsburgh Pirates,T. Williams (R),R,A. Heaney (L),L,0.0,1.0,1
2025-04-17,New York Yankees,Tampa Bay Rays,W. Warren (R),R,T. Bradley (R),R,1.0,0.0,1
2025-04-17,Los Angeles Angels,Texas Rangers,J. Kochanowicz (R),R,K. Rocker (R),R,1.0,1.0,1
2025-04-18,Minnesota Twins,Atlanta Braves,C. Paddack (R),R,B. Elder (R),R,0.0,0.0,0
2025-04-18,Cincinnati Reds,Baltimore Orioles,A. Abbott (L),L,C. Povich (L),L,0.0,0.0,0
2025-04-18,Chicago White Sox,Boston Red Sox,M. Perez (L),L,H. Dobbins (R),R,0.0,3.0,1
2025-04-18,Arizona Diamondbacks,Chicago Cubs,C. Burnes (R),R,C. Rea (R),R,0.0,0.0,0
2025-04-18,Kansas City Royals,Detroit Tigers,C. Ragans (L),L,J. Jobe (R),R,1.0,0.0,1
2025-04-18,San Diego Padres,Houston Astros,K. Hart (L),L,R. Gusto (R),R,0.0,0.0,0
2025-04-18,San Francisco Giants,Los Angeles Angels,L. Webb (R),R,T. Anderson (L),L,0.0,0.0,0
2025-04-18,St. Louis Cardinals,New York Mets,M. Mikolas (R),R,D. Peterson (L),L,0.0,0.0,0
2025-04-18,Miami Marlins,Philadelphia Phillies,S. Alcantara (R),R,Z. Wheeler (R),R,0.0,2.0,1
2025-04-18,Cleveland Guardians,Pittsburgh Pirates,L. Ortiz (R),R,C. Mlodzinski (R),R,0.0,1.0,1
2025-04-18,New York Yankees,Tampa Bay Rays,C. Rodon (L),L,D. Rasmussen (R),R,0.0,0.0,0
2025-04-18,Los Angeles Dodgers,Texas Rangers,Y. Yamamoto (R),R,J. deGrom (R),R,1.0,0.0,1
2025-04-18,Seattle Mariners,Toronto Blue Jays,B. Woo (R),R,B. Francis (R),R,0.0,1.0,1
2025-04-19,Cincinnati Reds,Baltimore Orioles,H. Greene (R),R,B. Young (R),R,1.0,2.0,1
2025-04-19,Chicago White Sox,Boston Red Sox,S. Smith (R),R,G. Crochet (L),L,0.0,0.0,0
2025-04-19,Arizona Diamondbacks,Chicago Cubs,Z. Gallen (R),R,B. Brown (R),R,1.0,2.0,1
2025-04-19,Washington Nationals,Colorado Rockies,M. Gore (L),L,C. Dollander (R),R,0.0,0.0,0
2025-04-19,Kansas City Royals,Detroit Tigers,S. Lugo (R),R,C. Mize (R),R,0.0,0.0,0
2025-04-19,St. Louis Cardinals,New York Mets,M. Liberatore (L),L,K. Senga (R),R,0.0,0.0,0
2025-04-19,Miami Marlins,Philadelphia Phillies,C. Quantrill (R),R,T. Walker (R),R,0.0,0.0,0
2025-04-19,Cleveland Guardians,Pittsburgh Pirates,B. Lively (R),R,P. Skenes (R),R,0.0,0.0,0
2025-04-19,New York Yankees,Tampa Bay Rays,C. Carrasco (R),R,S. Baz (R),R,2.0,0.0,1
2025-04-19,Los Angeles Dodgers,Texas Rangers,R. Sasaki (R),R,N. Eovaldi (R),R,0.0,0.0,0
2025-04-19,Seattle Mariners,Toronto Blue Jays,L. Gilbert (R),R,J. Berrios (R),R,0.0,1.0,1
